,Unnamed: 0,author,published_at,updated_at,like_count,text,results
10,10,XarlesM42,2023-11-13T16:27:57Z,2023-11-13T16:27:57Z,3,Dislike: 341k,"[{'label': 'NEGATIVE', 'score': 0.9952937960624695}]"
11,11,DIAZ NUTS,2023-11-13T16:22:35Z,2023-11-13T16:22:35Z,0,"yeah yeah, you go 'gurrl' 3.5 on Metacritic😁","[{'label': 'POSITIVE', 'score': 0.8636318445205688}]"
12,12,iera,2023-11-13T16:07:51Z,2023-11-13T16:07:51Z,1,The people in these comments are lost and its a clear indication cinema will not recover in the next 25 years,"[{'label': 'NEGATIVE', 'score': 0.9997789263725281}]"
13,13,JacksonJ,2023-11-13T16:06:41Z,2023-11-13T16:06:41Z,1,"The only thing worth watching of marvel is loki the tv show, great writing and effects","[{'label': 'NEGATIVE', 'score': 0.9981517195701599}]"
14,14,iera,2023-11-13T16:05:27Z,2023-11-13T16:05:27Z,0,Why are you like this? Marvel,"[{'label': 'POSITIVE', 'score': 0.9988102912902832}]"
15,15,Drednaut505,2023-11-13T16:03:39Z,2023-11-13T16:03:39Z,4,The Marvels - The Biggest Flop In MCU History,"[{'label': 'NEGATIVE', 'score': 0.9997783303260803}]"
16,16,Xavi,2023-11-13T15:58:41Z,2023-11-13T15:58:41Z,0,"Brie is #1 at the box office!! Do you know how badly chudrodic and critical dink WISH they could be #1 at the box office. 
Its their dream! 
Brie Larson is living it!
Brie Larson is living their dream  !  💪🔥","[{'label': 'POSITIVE', 'score': 0.9988172054290771}]"
17,17,Leonardo Ramalho Machado,2023-11-13T15:44:15Z,2023-11-13T15:44:15Z,2,Flop,"[{'label': 'NEGATIVE', 'score': 0.9997636675834656}]"
18,18,Eli,2023-11-13T15:39:17Z,2023-11-13T15:39:17Z,0,"Brie is #1 at the box office!! Do you know how badly chudrodic and critical dink WISH they could be #1 at the box office. 
its their dream! 
Brie Larson is living it!
Brie Larson is living their dream  !,./","[{'label': 'POSITIVE', 'score': 0.9989751577377319}]"
19,19,Eli,2023-11-13T15:39:05Z,2023-11-13T15:39:05Z,0,"Brie is #1 at the box office!! Do you know how badly chudrodic and critical dink WISH they could be #1 at the box office. 
its their dream! 
Brie Larson is living it!
Brie Larson is living their dream  !","[{'label': 'POSITIVE', 'score': 0.9992009997367859}]"
20,20,Eli San,2023-11-13T15:13:59Z,2023-11-13T15:13:59Z,0,"Brie is #1 at the box office!! Do you know how badly chudrodic and critical dink WISH they could be #1 at the box office. 
its their dream! 
Brie Larson is living it!
Brie Larson is living their dream  !","[{'label': 'POSITIVE', 'score': 0.9992009997367859}]"
21,21,Eli San,2023-11-13T15:11:34Z,2023-11-13T15:11:34Z,1,"With all the free publicity Brie Larson gets, its no wonder she is one of the most highest paid actors,. 🔥
,./.","[{'label': 'POSITIVE', 'score': 0.9987956285476685}]"
22,22,Eli San,2023-11-13T15:11:17Z,2023-11-13T15:11:17Z,1,"Brie Larson has the 400 Z, Fast X, Lessons in Chemistry, The Marvels. She is dominating the zeitgeist . living rent free
,./","[{'label': 'POSITIVE', 'score': 0.9536253213882446}]"
23,23,Eli San,2023-11-13T15:10:48Z,2023-11-13T15:10:48Z,1,The /nceI dudes have a war on Brie Larson. They want to keep women and bIack peopIe out o fthe MCU,"[{'label': 'NEGATIVE', 'score': 0.9915959239006042}]"
24,24,Brad,2023-11-13T15:08:46Z,2023-11-13T15:08:46Z,1,All Girly movie -Guaranteed to Fail.,"[{'label': 'NEGATIVE', 'score': 0.9996680021286011}]"
25,25,Fire Water,2023-11-13T15:04:08Z,2023-11-13T15:04:34Z,1,Floped. Once marvel began to be sexist towards male Super heroes by making them weak marvel lost its touch and money because the biggest audience for these movies have always been boys and men.,"[{'label': 'NEGATIVE', 'score': 0.9997710585594177}]"
26,26,Gary McCloskey Jr.,2023-11-13T15:00:03Z,2023-11-13T15:00:03Z,1,This actually looks like it sucks pretty bad.  Not as bad as the all girls ghostbusters but it's headed that direction for sure.,"[{'label': 'NEGATIVE', 'score': 0.9767822623252869}]"
27,27,Dagawd,2023-11-13T14:58:34Z,2023-11-13T14:58:34Z,0,Brie FTW #1,"[{'label': 'POSITIVE', 'score': 0.933171272277832}]"
28,28,Dagawd,2023-11-13T14:58:27Z,2023-11-13T14:58:27Z,0,"Brie Larson takes the #1 spot in the worldwide Box office while the /nceI dudes still scrapping the bottom of the youtube barrel, in their moms basements","[{'label': 'NEGATIVE', 'score': 0.8432406783103943}]"
29,29,X-Men vs Grifters+Hatriots,2023-11-13T14:54:13Z,2023-11-13T14:54:13Z,0,Brie Larson will win the Emmy for Lesson in Chemistry and she has #1 Box Office in the World. LETS GOOOO,"[{'label': 'POSITIVE', 'score': 0.9971729516983032}]"
30,30,X-Men vs Grifters+Hatriots,2023-11-13T14:53:44Z,2023-11-13T14:53:44Z,1,Its so amazing how everyone is watching and reacting to this movie. the grifters gotta grift!,"[{'label': 'POSITIVE', 'score': 0.9995682835578918}]"
31,31,X-Men vs Grifters+Hatriots,2023-11-13T14:53:40Z,2023-11-13T14:53:40Z,1,Its so amazing how everyone is watching and reacting to this movie. the grifters gotta grift!,"[{'label': 'POSITIVE', 'score': 0.9995682835578918}]"
32,32,X-Men vs Grifters+Hatriots,2023-11-13T14:53:36Z,2023-11-13T14:53:36Z,4,WOOOHOOOO LETS GO #1 IN THE WORLD!!!,"[{'label': 'POSITIVE', 'score': 0.9979715943336487}]"
33,33,Joey,2023-11-13T14:47:35Z,2023-11-13T14:47:35Z,0,New Black Panther? ....Disney sucks,"[{'label': 'NEGATIVE', 'score': 0.9993234872817993}]"
34,34,Marbles the Cat,2023-11-13T14:44:12Z,2023-11-13T14:44:12Z,2,Horrible,"[{'label': 'NEGATIVE', 'score': 0.9997841715812683}]"
35,35,Occle Emme,2023-11-13T14:40:38Z,2023-11-13T14:40:38Z,1,How many lesbians?,"[{'label': 'NEGATIVE', 'score': 0.9949234127998352}]"
36,36,Cosmin,2023-11-13T14:39:24Z,2023-11-13T14:39:24Z,1,Where are all the men? Apart from Nick lol,"[{'label': 'NEGATIVE', 'score': 0.9907575249671936}]"
37,37,Steve Vadeboncoeur,2023-11-13T14:24:52Z,2023-11-13T14:24:52Z,1,/.Its so amazing how everyone is watching and reacting to this movie. the grifters gotta grift!./,"[{'label': 'POSITIVE', 'score': 0.9994999170303345}]"
38,38,Steve Vadeboncoeur,2023-11-13T14:24:48Z,2023-11-13T14:24:48Z,0,Its so amazing how everyone is watching and reacting to this movie. the grifters gotta grift!,"[{'label': 'POSITIVE', 'score': 0.9995682835578918}]"
39,39,Steve Vadeboncoeur,2023-11-13T14:24:44Z,2023-11-13T14:24:44Z,0,#1 Movie in the World! Brie Larson is dominating Hollywood. Lessons in Chemistry will win an Emmy,"[{'label': 'POSITIVE', 'score': 0.9997027516365051}]"
40,40,Steve Vadeboncoeur,2023-11-13T14:23:45Z,2023-11-13T14:23:45Z,1,#1 Movie in the World!! LETS GOOOOOO,"[{'label': 'POSITIVE', 'score': 0.9983646273612976}]"
41,41,Cosmic Lore,2023-11-13T14:21:46Z,2023-11-13T14:21:46Z,0,#1 at the world wife box office . Brie Larson is the Queen,"[{'label': 'POSITIVE', 'score': 0.9997913241386414}]"
42,42,ana ruiz,2023-11-13T14:06:07Z,2023-11-13T14:06:07Z,2,"Getting worse and worse and worse by the minute ... 
Mehhhhhhh","[{'label': 'NEGATIVE', 'score': 0.999514102935791}]"
43,43,Dennis Warren,2023-11-13T14:01:08Z,2023-11-13T14:01:08Z,1,Another Hollywood L,"[{'label': 'NEGATIVE', 'score': 0.8980453014373779}]"
44,44,Deepak Gaikwad,2023-11-13T13:55:26Z,2023-11-13T13:55:26Z,0,"The days of Marvel producing superhero films starring male heroes like Iron Man, Thor, Captain America, and Dr. Strange are long gone; currently, the studio only produces films with female leads…","[{'label': 'NEGATIVE', 'score': 0.9988445043563843}]"
45,45,Vijay Baidya,2023-11-13T13:30:36Z,2023-11-13T13:30:36Z,3,The downfall of Marvel has started. No more male superheroes and good stories are in Marvel. Only stupid and worst characters are being introduced to the audience. The Marvels is set to the lowest opening movie of studio. Dir hard fans are now moving to DC.,"[{'label': 'NEGATIVE', 'score': 0.9996041655540466}]"
46,46,Roger i Elmhult,2023-11-13T13:27:01Z,2023-11-13T13:27:01Z,3,Well this seem to suck.,"[{'label': 'NEGATIVE', 'score': 0.9975607395172119}]"
47,47,Alex Xander,2023-11-13T13:08:12Z,2023-11-13T13:08:12Z,6,"Boring,bad...skip this.","[{'label': 'NEGATIVE', 'score': 0.9998031258583069}]"
48,48,Rick Smith,2023-11-13T12:59:24Z,2023-11-13T12:59:24Z,0,An m and m song in soundtrack talk about the bottom of the barrel,"[{'label': 'POSITIVE', 'score': 0.6689555048942566}]"
49,49,darth qwebite,2023-11-13T12:54:42Z,2023-11-13T12:54:42Z,0,Отряд самоубийц пс 5  2024,"[{'label': 'POSITIVE', 'score': 0.847165048122406}]"
50,50,darth qwebite,2023-11-13T12:51:50Z,2023-11-13T12:51:50Z,0,Люкенг прртиво супермена,"[{'label': 'POSITIVE', 'score': 0.5262743830680847}]"
51,51,RealityCheck,2023-11-13T12:28:56Z,2023-11-13T12:30:14Z,2,Omg... I saw the movie and it's embarrassing. Ohh God it's embarrassing... I can't find another word. What were you thinking Marvel?!,"[{'label': 'NEGATIVE', 'score': 0.9996086955070496}]"
52,52,Tactical1,2023-11-13T12:13:21Z,2023-11-13T12:13:21Z,2,Looks like another major league failure. Just add water…,"[{'label': 'NEGATIVE', 'score': 0.9998055100440979}]"
53,53,Alroy Uy,2023-11-13T12:03:25Z,2023-11-13T12:03:25Z,1,I had no idea Jada and Will Smith were part of the movie. I suppose in our universe they absorbed entanglements 😅,"[{'label': 'NEGATIVE', 'score': 0.9831146001815796}]"
54,54,Xman4000,2023-11-13T11:22:58Z,2023-11-13T11:22:58Z,1,The worst movie in Marvel history,"[{'label': 'NEGATIVE', 'score': 0.9997938275337219}]"
55,55,FilthyVirus,2023-11-13T11:17:56Z,2023-11-13T11:17:56Z,4,"Generic, forced and political statement driven garbage","[{'label': 'NEGATIVE', 'score': 0.9998082518577576}]"
56,56,Marco Baez,2023-11-13T10:19:40Z,2023-11-13T10:19:40Z,4,I feel there are a lot of bots here... Lol,"[{'label': 'NEGATIVE', 'score': 0.9699901938438416}]"
57,57,Tokyo Toronto,2023-11-13T09:04:27Z,2023-11-13T09:04:27Z,2,women and black. What a disaster combo. That why this movie suck,"[{'label': 'NEGATIVE', 'score': 0.9997329115867615}]"
58,58,Zog Lasomp,2023-11-13T08:56:15Z,2023-11-13T08:56:15Z,1,"‘The Marvels’ Flops at International Box Office With $63 Million, Dramatically Behind 2019’s ‘Captain Marvel’- Variety","[{'label': 'NEGATIVE', 'score': 0.9993701577186584}]"
59,59,Dark Knight,2023-11-13T08:25:02Z,2023-11-13T08:25:02Z,1,I dont like the muslim actor. someone else should play kamala khan,"[{'label': 'NEGATIVE', 'score': 0.9961568713188171}]"
60,60,Drednaut505,2023-11-13T08:11:40Z,2023-11-13T08:11:40Z,4,Let’s not forget the avengers cast hates the clown larson,"[{'label': 'NEGATIVE', 'score': 0.9853319525718689}]"
61,61,Prometheus,2023-11-13T07:32:56Z,2023-11-13T07:32:56Z,4,Kitty Fight. So adorable 🤦🏻‍♂️,"[{'label': 'POSITIVE', 'score': 0.9987226128578186}]"
62,62,Steve Vadeboncoeur,2023-11-13T07:22:10Z,2023-11-13T07:22:10Z,3,"brie's smug ""I don't hate White dudes"" speech was abhorrent and unacceptable","[{'label': 'NEGATIVE', 'score': 0.9996083378791809}]"
63,63,Longy Dongy,2023-11-13T07:02:54Z,2023-11-13T07:02:54Z,0,Heard this 💩 show 💣 at the box office 😂,"[{'label': 'POSITIVE', 'score': 0.9805014729499817}]"
64,64,D3w1 D3w1,2023-11-13T06:39:40Z,2023-11-13T06:39:40Z,4,"The worst marvel movie i've ever watched in theatre.. waste of time, money, energy.. so lame...i'd rather just watch netflix at home...","[{'label': 'NEGATIVE', 'score': 0.9998093247413635}]"
65,65,Shivam004,2023-11-13T06:20:33Z,2023-11-13T06:20:33Z,0,"If i watch, the reason is that cat.","[{'label': 'NEGATIVE', 'score': 0.6521042585372925}]"
66,66,Tomatosauce44,2023-11-13T05:50:53Z,2023-11-13T05:50:53Z,0,LMAO 😂,"[{'label': 'NEGATIVE', 'score': 0.8535083532333374}]"
67,67,Drednaut505,2023-11-13T05:43:21Z,2023-11-13T05:43:21Z,2,I hope one day there will be justice for the victims of brie's TimesUp scam - Jussie Smollett,"[{'label': 'NEGATIVE', 'score': 0.9698110818862915}]"
68,68,Zoltan,2023-11-13T05:27:15Z,2023-11-13T05:27:15Z,0,Lesssss go sisters,"[{'label': 'NEGATIVE', 'score': 0.935748815536499}]"
69,69,Clarkson-san_in_Japan,2023-11-13T05:21:42Z,2023-11-13T05:21:42Z,0,Formulaic...,"[{'label': 'NEGATIVE', 'score': 0.9998134970664978}]"
70,70,Lia Umat,2023-11-13T04:59:31Z,2023-11-13T04:59:31Z,13,"The last scene where 3 of them attack the villain at the same time reminds me of the Avengers: Age of Ultron when Ironman, Thor and Vision attacked Ultron","[{'label': 'POSITIVE', 'score': 0.9823684096336365}]"
71,71,Dirk Squarejaw,2023-11-13T04:57:23Z,2023-11-13T04:57:23Z,1,"Hugely successful film FRANCHISES (not single films, but actual franchises) that featured a female lead:
the Aliens films, the Tomb Raider films, the Resident Evil films, the Hunger Games films, the Charlie's Angels films, the Twilight films, the Underworld films, the Divergent films, the Wonder Woman films, but yeah, t0xIC mAsCUlIniTY is the reason why this failed lol","[{'label': 'NEGATIVE', 'score': 0.9994738698005676}]"
72,72,The Players club,2023-11-13T04:57:20Z,2023-11-13T04:57:20Z,1,ANY white men in this movie??  hard f'in pass!,"[{'label': 'NEGATIVE', 'score': 0.9987735152244568}]"
73,73,kanhaiya kumar,2023-11-13T04:54:47Z,2023-11-13T04:54:47Z,1,RESET CAPTAIN MARVEL LIKE HULK...,"[{'label': 'POSITIVE', 'score': 0.9585981369018555}]"
74,74,Steve Vadeboncoeur,2023-11-13T04:52:39Z,2023-11-13T04:52:39Z,3,Reading the comments it's no wonder there are medical experts and professional psychologists that consider celebrity worship a disorder,"[{'label': 'NEGATIVE', 'score': 0.9177486300468445}]"
75,75,Minimalist SG,2023-11-13T04:13:26Z,2023-11-13T04:13:26Z,1,"Kamala Kahn is the best part of this movie, the rest is just crap.","[{'label': 'NEGATIVE', 'score': 0.9996392726898193}]"
76,76,ItzMe,2023-11-13T04:10:00Z,2023-11-13T04:10:00Z,1,🥱,"[{'label': 'NEGATIVE', 'score': 0.6970565319061279}]"
77,77,Duran,2023-11-13T03:44:18Z,2023-11-13T03:44:18Z,0,"❌ Let’s NOT kid ourselves ❌
The Marvels failed because they refused to show too much flesh 😒 Imagine Brie Larson wearing superhero bikini all the film🔥","[{'label': 'NEGATIVE', 'score': 0.9996249675750732}]"
78,78,IX_Splintert_XI,2023-11-13T03:35:00Z,2023-11-13T03:35:00Z,2,"this movie was a waste of money to make, had all reasons to do bad in theaters","[{'label': 'NEGATIVE', 'score': 0.9998173117637634}]"
79,79,Hated Critic,2023-11-13T03:22:49Z,2023-11-13T03:22:49Z,2,Lowest grossing MCU opening.. You know it's bad when even the Chinese community hates it. What a joke,"[{'label': 'NEGATIVE', 'score': 0.9997476935386658}]"
80,80,wildflower,2023-11-13T03:20:19Z,2023-11-13T03:20:19Z,1,Are this the Spicegirls?,"[{'label': 'NEGATIVE', 'score': 0.9922208189964294}]"
81,81,NickelSack79,2023-11-13T02:49:11Z,2023-11-13T02:49:11Z,3,"At this point , Disney is just laundering money. Who asked for this garbage?","[{'label': 'NEGATIVE', 'score': 0.9997115731239319}]"
82,82,Brothers Traveler,2023-11-13T02:45:46Z,2023-11-13T02:45:46Z,2,last 2-3 years marvel series movie look like a cartoon,"[{'label': 'NEGATIVE', 'score': 0.9616650342941284}]"
83,83,DB800187,2023-11-13T02:35:39Z,2023-11-13T02:35:39Z,0,You can see the results of how uninterested the fans are by the box office results. MAKE MOVIES ABOUT THE CHARACTERS WE WANT TO SEE!! How about starting off with a Hulk film where he is a raging beast! Or is that too much toxic masculinity?🤦🏻‍♂️,"[{'label': 'NEGATIVE', 'score': 0.9984845519065857}]"
84,84,Boogiebagflipper,2023-11-13T02:30:50Z,2023-11-13T02:30:50Z,5,This movie legit fing sucked. 😂,"[{'label': 'NEGATIVE', 'score': 0.9992401599884033}]"
85,85,Sudarshan Shete,2023-11-13T02:22:40Z,2023-11-13T02:22:40Z,1,Switching to DC🙄,"[{'label': 'NEGATIVE', 'score': 0.9708641767501831}]"
86,86,Tyty,2023-11-13T02:13:02Z,2023-11-13T02:13:02Z,2,Do not See this movie m c u is over,"[{'label': 'NEGATIVE', 'score': 0.9991903901100159}]"
87,87,Dagawd,2023-11-13T02:08:07Z,2023-11-13T02:08:07Z,1,Brie Larson is on top of the world ! #1 at the world wide box office. 💪🔥,"[{'label': 'POSITIVE', 'score': 0.9998358488082886}]"
88,88,Dagawd,2023-11-13T02:07:38Z,2023-11-13T02:07:38Z,1,"Its so amazing how everyone is watching and reacting to this movie. the grifters gotta grift!
!","[{'label': 'POSITIVE', 'score': 0.9996196031570435}]"
89,89,Dagawd,2023-11-13T02:07:30Z,2023-11-13T02:07:30Z,1,Its so amazing how everyone is watching and reacting to this movie. the grifters gotta grift!,"[{'label': 'POSITIVE', 'score': 0.9995682835578918}]"
90,90,Aj Dennard,2023-11-13T02:03:19Z,2023-11-13T02:03:19Z,1,Movie is awesome dont believe the critics,"[{'label': 'POSITIVE', 'score': 0.9997783303260803}]"
91,91,Salil Chincholikar,2023-11-13T02:02:17Z,2023-11-13T02:02:17Z,0,Mid,"[{'label': 'NEGATIVE', 'score': 0.9892596006393433}]"
92,92,Anthon Jontah,2023-11-13T01:54:43Z,2023-11-13T01:54:43Z,0,This maybe the worst Marvel's movies..,"[{'label': 'NEGATIVE', 'score': 0.99979168176651}]"
93,93,Cehnd,2023-11-13T01:52:25Z,2023-11-13T01:52:25Z,1,what is this icarly like story bro,"[{'label': 'POSITIVE', 'score': 0.5760305523872375}]"
94,94,karell t,2023-11-13T01:48:15Z,2023-11-13T01:48:15Z,1,Who's the villain? Never Heard of her....,"[{'label': 'NEGATIVE', 'score': 0.9687724113464355}]"
95,95,Drednaut505,2023-11-13T01:48:04Z,2023-11-13T01:48:04Z,4,hollywood clowns are just as bright and just as talented as regular clowns,"[{'label': 'POSITIVE', 'score': 0.9975495934486389}]"
96,96,Kevin M. Butler,2023-11-13T01:44:55Z,2023-11-13T01:44:55Z,2,This movie was a million times better than the last two Thor movies.,"[{'label': 'POSITIVE', 'score': 0.9992998838424683}]"
97,97,Dan Hotes,2023-11-13T01:26:36Z,2023-11-13T01:26:36Z,0,Superman with Christopher Reeves is better,"[{'label': 'POSITIVE', 'score': 0.9882877469062805}]"
98,98,Jan Michiels,2023-11-13T01:03:57Z,2023-11-13T01:03:57Z,0,hahahahaha marvel bad,"[{'label': 'NEGATIVE', 'score': 0.9924307465553284}]"
99,99,Steve Vadeboncoeur,2023-11-13T00:45:41Z,2023-11-13T00:45:41Z,2,Marvel EXPOSED! Disney is in Full PANIC Mode | deploy the brie bots,"[{'label': 'NEGATIVE', 'score': 0.8710368275642395}]"
100,100,Erick Estrada,2023-11-13T00:17:12Z,2023-11-13T00:17:12Z,2,"THIS IS EASILY BY FAR THE WORST MARVEL MOVIE EVER.  I was about to walk out the theater in the middle of the movie, this was painful to watch, Nothing makes sense in this movie plus the characters feel so forced I felt like I was watching a Disney movie and not a Marvel Movie.","[{'label': 'NEGATIVE', 'score': 0.9998111128807068}]"
101,101,Rio Weber,2023-11-13T00:12:37Z,2023-11-13T00:12:37Z,3,"lol, nice, no wonder it's tanking","[{'label': 'POSITIVE', 'score': 0.9997196793556213}]"
102,102,BlueTint,2023-11-12T23:59:20Z,2023-11-12T23:59:20Z,0,"I was a skeptic too, but I had nothing going on this weekend so I gave it a watch. I actually really enjoyed it.

Maybe this movie can do an Elemental and be salvaged by word of mouth.","[{'label': 'POSITIVE', 'score': 0.9994693398475647}]"
103,103,Corbin Leonard,2023-11-12T23:58:42Z,2023-11-12T23:58:42Z,0,Dude what they saying    they are bringing back the og team. How that apoes to work    ho no what is going my  head is ex  boom   a other person later what a minute. If Cassie a altud in endgame. And now she is a teenager how that apoes to work ho no  what is the matter  my head is ex boom,"[{'label': 'NEGATIVE', 'score': 0.9989773035049438}]"
104,104,Gunny Studios,2023-11-12T23:54:13Z,2023-11-12T23:54:13Z,3,"it was incredible, i think i started my monthly from all this toxic estrogen.  And all those cats, it was a great meowfest.  Thank you Marvel, i really feel my inner woman.","[{'label': 'POSITIVE', 'score': 0.9997926354408264}]"
105,105,Donald umunawa,2023-11-12T23:53:36Z,2023-11-12T23:53:36Z,1,"Is this a new version of ""The View?""","[{'label': 'NEGATIVE', 'score': 0.9985835552215576}]"
106,106,rpbboys805,2023-11-12T23:46:46Z,2023-11-12T23:46:46Z,2,I walked out halfway through  the movie .,"[{'label': 'NEGATIVE', 'score': 0.9997102618217468}]"
107,107,Avatar of Hate,2023-11-12T23:45:06Z,2023-11-12T23:45:06Z,0,"Nope, we re not doin this!","[{'label': 'NEGATIVE', 'score': 0.9994410872459412}]"
108,108,Kris,2023-11-12T23:25:54Z,2023-11-12T23:25:54Z,11,"Comment section:
Bots: most amazing Marvel movie ever, that one scene was so breathtaking ❤😮


Real people: wtf is this generic crap?","[{'label': 'NEGATIVE', 'score': 0.9806134700775146}]"
109,109,BruhZooka,2023-11-12T23:15:58Z,2023-11-12T23:15:58Z,0,looks like teerash bag!,"[{'label': 'NEGATIVE', 'score': 0.9945859909057617}]"
110,110,Solar Travel,2023-11-12T23:14:51Z,2023-11-12T23:14:51Z,0,"Even the trailer is bad. OMGOSH. Disney has sunk the battleship after they bought it. Many people predicted this. But not the overpriced executives at Disney.,","[{'label': 'NEGATIVE', 'score': 0.9805758595466614}]"
111,111,Poop Sock,2023-11-12T23:12:27Z,2023-11-12T23:12:27Z,3,South Park... that is all.,"[{'label': 'NEGATIVE', 'score': 0.6527557373046875}]"
112,112,lea monika,2023-11-12T23:10:27Z,2023-11-12T23:10:27Z,0,the worst marvel movie they ever made this is not avengers any more its disney garbage,"[{'label': 'NEGATIVE', 'score': 0.9997801184654236}]"
113,113,Prakash Rajput,2023-11-12T23:07:14Z,2023-11-12T23:07:14Z,0,This is something you tubers produce these days. Mr beast can create far better movie than marvels. I watched it and I say don't waste your money.,"[{'label': 'POSITIVE', 'score': 0.9942706823348999}]"
114,114,BigPopa,2023-11-12T23:06:28Z,2023-11-12T23:06:28Z,0,"This movie was more like Barbie in space. Iron Man, Cap, Thor, and Infinity Wars were the peak of the MCU. Horrible, horrible, horrible movie.","[{'label': 'NEGATIVE', 'score': 0.9976251721382141}]"
115,115,Vile,2023-11-12T23:00:43Z,2023-11-12T23:00:43Z,0,"To all the Marvel fanboy bots who said this wouldn’t bomb are nowhere to be found lol. Movie is so bad 

Marvel/Disney needa go","[{'label': 'NEGATIVE', 'score': 0.999776303768158}]"
116,116,중,2023-11-12T22:50:54Z,2023-11-12T22:50:54Z,2,재미없을듯,"[{'label': 'NEGATIVE', 'score': 0.6970565319061279}]"
117,117,Arif Kaka,2023-11-12T22:32:52Z,2023-11-12T22:32:52Z,0,Capt Marvel jago bnget😂,"[{'label': 'POSITIVE', 'score': 0.9284347891807556}]"
118,118,Ley,2023-11-12T22:24:19Z,2023-11-12T22:24:33Z,0,"Can Marvel for once stop being goofy and make a serious movie?!
I mean, the first movies were like this, but since the end of phase 3 it’s the worst, nothing is serious anymore","[{'label': 'NEGATIVE', 'score': 0.9982001781463623}]"
119,119,Sonny Prince,2023-11-12T22:20:18Z,2023-11-12T22:20:18Z,0,The film bombed and I’m not surprised. I haven’t seen the film so I can’t say if it’s good or bad but I guess it just goes to show that people are just so tired of these films now. The MCU needs a long break.,"[{'label': 'NEGATIVE', 'score': 0.9995152950286865}]"
120,120,luca modrick,2023-11-12T22:17:44Z,2023-11-12T22:17:44Z,0,😂😂😂,"[{'label': 'NEGATIVE', 'score': 0.6970565319061279}]"
121,121,herman888888,2023-11-12T21:46:51Z,2023-11-12T21:46:51Z,0,Man how much money is this film losing? 270m for this??,"[{'label': 'NEGATIVE', 'score': 0.9995718598365784}]"
122,122,Turboy,2023-11-12T21:29:24Z,2023-11-12T21:29:24Z,0,47 mil opening weekend.  No surprse as per my last comment.  We are staying away in droves.,"[{'label': 'NEGATIVE', 'score': 0.9888334274291992}]"
123,123,Yu Iko,2023-11-12T21:21:01Z,2023-11-12T21:21:01Z,1,Brie Larson has the charisma of a potato.,"[{'label': 'POSITIVE', 'score': 0.9719233512878418}]"
124,124,Steve Vadeboncoeur,2023-11-12T21:16:08Z,2023-11-12T21:16:08Z,0,"Disney PANICS! And deploys the brie bots, The Marvels is a FLOP","[{'label': 'NEGATIVE', 'score': 0.9997660517692566}]"
125,125,Mike Epps,2023-11-12T21:04:22Z,2023-11-12T21:04:22Z,0,"Yep, it Bombed.","[{'label': 'NEGATIVE', 'score': 0.9977803826332092}]"
126,126,Steve Vadeboncoeur,2023-11-12T20:56:44Z,2023-11-12T20:56:44Z,2,suspicious bot activity,"[{'label': 'NEGATIVE', 'score': 0.9983585476875305}]"
